All Home For Sale,Worksheet Filter,Inventory Yoy,Period End,Property Type,Region,State Code
8972,Year-Over-Year Change,-22.80%,1/31/12,All Residential,"Orange County, CA",CA
8464,Year-Over-Year Change,-29.70%,2/28/12,All Residential,"Orange County, CA",CA
7858,Year-Over-Year Change,-35.60%,3/31/12,All Residential,"Orange County, CA",CA
7360,Year-Over-Year Change,-40.60%,4/30/12,All Residential,"Orange County, CA",CA
6992,Year-Over-Year Change,-44.40%,5/31/12,All Residential,"Orange County, CA",CA
6719,Year-Over-Year Change,-46.80%,6/30/12,All Residential,"Orange County, CA",CA
6295,Year-Over-Year Change,-49.70%,7/31/12,All Residential,"Orange County, CA",CA
5687,Year-Over-Year Change,-52.70%,8/31/12,All Residential,"Orange County, CA",CA
4924,Year-Over-Year Change,-57.20%,9/30/12,All Residential,"Orange County, CA",CA
4284,Year-Over-Year Change,-60.80%,10/31/12,All Residential,"Orange County, CA",CA
3632,Year-Over-Year Change,-64.60%,11/30/12,All Residential,"Orange County, CA",CA
2987,Year-Over-Year Change,-67.70%,12/31/12,All Residential,"Orange County, CA",CA
2837,Year-Over-Year Change,-68.40%,1/31/13,All Residential,"Orange County, CA",CA
2889,Year-Over-Year Change,-65.90%,2/28/13,All Residential,"Orange County, CA",CA
2914,Year-Over-Year Change,-62.90%,3/31/13,All Residential,"Orange County, CA",CA
3347,Year-Over-Year Change,-54.50%,4/30/13,All Residential,"Orange County, CA",CA
3756,Year-Over-Year Change,-46.30%,5/31/13,All Residential,"Orange County, CA",CA
4341,Year-Over-Year Change,-35.40%,6/30/13,All Residential,"Orange County, CA",CA
5087,Year-Over-Year Change,-19.20%,7/31/13,All Residential,"Orange County, CA",CA
5490,Year-Over-Year Change,-3.50%,8/31/13,All Residential,"Orange County, CA",CA
5764,Year-Over-Year Change,17.10%,9/30/13,All Residential,"Orange County, CA",CA
5684,Year-Over-Year Change,32.70%,10/31/13,All Residential,"Orange County, CA",CA
5086,Year-Over-Year Change,40.00%,11/30/13,All Residential,"Orange County, CA",CA
4417,Year-Over-Year Change,47.90%,12/31/13,All Residential,"Orange County, CA",CA
4638,Year-Over-Year Change,63.50%,1/31/14,All Residential,"Orange County, CA",CA
