,hpi_distance,hpi_real,hpi_trend,hpi_value,month
0,0.403356,61.925333,7.495035,19.79057,1976-01-01
1,0.396878,62.543431,7.935253,20.023928,1976-02-01
2,0.391471,63.257367,8.375471,20.288732,1976-03-01
3,0.387942,64.152714,8.81569,20.612642,1976-04-01
4,0.385485,64.927928,9.255908,20.973282,1976-05-01
5,0.382614,65.667996,9.696126,21.325174,1976-06-01
6,0.3803,66.455051,10.136344,21.694948,1976-07-01
7,0.378633,67.288056,10.576562,22.082506,1976-08-01
8,0.377133,68.132655,11.01678,22.476752,1976-09-01
9,0.37517,68.930983,11.456998,22.858556,1976-10-01
10,0.373795,69.890414,11.897216,23.256776,1976-11-01
11,0.373605,70.825719,12.337434,23.689702,1976-12-01
12,0.373728,71.782231,12.777652,24.132972,1977-01-01
13,0.375287,72.490641,13.21787,24.620246,1977-02-01
14,0.379595,73.794744,13.658088,25.189959,1977-03-01
15,0.386165,75.169565,14.098306,25.831466,1977-04-01
16,0.394033,76.913811,14.538524,26.518966,1977-05-01
17,0.403078,78.633334,14.978743,27.246946,1977-06-01
18,0.412215,80.357713,15.418961,27.982525,1977-07-01
19,0.419799,81.935848,15.859179,28.672854,1977-08-01
20,0.426652,83.578554,16.299397,29.343444,1977-09-01
21,0.429606,84.735047,16.739615,29.895068,1977-10-01
22,0.429236,85.44941,17.179833,30.34286,1977-11-01
23,0.427428,86.147923,17.620051,30.738921,1977-12-01
24,0.423878,86.530503,18.060269,31.073669,1978-01-01
25,0.420557,87.059036,18.500487,31.413054,1978-02-01
26,0.417,87.419468,18.940705,31.743381,1978-03-01
27,0.413612,87.650165,19.380923,32.078153,1978-04-01
28,0.412521,87.924185,19.821141,32.480584,1978-05-01
29,0.413494,88.502057,20.261359,32.947501,1978-06-01
30,0.414082,89.060302,20.701577,33.410365,1978-07-01
31,0.414057,89.707738,21.141795,33.858763,1978-08-01
32,0.414265,90.088171,21.582014,34.311932,1978-09-01
33,0.414777,90.476049,22.022232,34.770578,1978-10-01
34,0.415956,91.187692,22.46245,35.252974,1978-11-01
35,0.414276,91.679484,22.902668,35.653133,1978-12-01
36,0.410012,91.695171,23.342886,35.974337,1979-01-01
37,0.406216,91.586306,23.783104,36.298811,1979-02-01
38,0.404985,91.648031,24.223322,36.690706,1979-03-01
39,0.408162,92.040836,24.66354,37.216971,1979-04-01
40,0.415487,92.625057,25.103758,37.8776,1979-05-01
41,0.425104,93.397108,25.543976,38.621255,1979-06-01
42,0.433968,94.12497,25.984194,39.35351,1979-07-01
43,0.441994,94.905824,26.424412,40.060477,1979-08-01
44,0.451975,95.801206,26.86463,40.822507,1979-09-01
45,0.460859,96.47832,27.304848,41.553091,1979-10-01
46,0.466079,96.902112,27.745066,42.179614,1979-11-01
47,0.468831,97.014847,28.185285,42.728761,1979-12-01
48,0.469643,96.71853,28.625503,43.207591,1980-01-01
49,0.470536,96.537603,29.065721,43.679672,1980-02-01
50,0.47415,96.410578,29.505939,44.229595,1980-03-01
51,0.480176,96.811669,29.946157,44.857182,1980-04-01
52,0.485239,97.167996,30.386375,45.467499,1980-05-01
53,0.487924,97.374228,30.826593,46.010159,1980-06-01
54,0.491604,98.448429,31.266811,46.574114,1980-07-01
55,0.498386,99.104098,31.707029,47.224862,1980-08-01
56,0.505291,99.659512,32.147247,47.889078,1980-09-01
57,0.507156,99.805699,32.587465,48.416625,1980-10-01
58,0.501162,99.349865,33.027683,48.707608,1980-11-01
59,0.490095,98.658975,33.467901,48.820936,1980-12-01
60,0.482953,98.162606,33.908119,49.025082,1981-01-01
61,0.48051,97.945793,34.348337,49.365577,1981-02-01
62,0.478276,98.003789,34.788556,49.73159,1981-03-01
63,0.475488,98.167957,35.228774,50.096019,1981-04-01
64,0.473216,98.238539,35.668992,50.469628,1981-05-01
65,0.474927,98.308306,36.10921,50.955909,1981-06-01
