Worksheet Filter,All Home For Sale,Inventory Year over Year,Period End,Property Type,Region,State Code,Date Convert,Month,Date,Year
Year-Over-Year Change,8972,-22.80%,1/31/12,All Residential,Orange County, CA,12-Jan,1,31,2012
Year-Over-Year Change,8464,-29.70%,2/28/12,All Residential,Orange County, CA,12-Feb,2,28,2012
Year-Over-Year Change,7858,-35.60%,3/31/12,All Residential,Orange County, CA,12-Mar,3,31,2012
Year-Over-Year Change,7360,-40.60%,4/30/12,All Residential,Orange County, CA,12-Apr,4,30,2012
Year-Over-Year Change,6992,-44.40%,5/31/12,All Residential,Orange County, CA,12-May,5,31,2012
Year-Over-Year Change,6719,-46.80%,6/30/12,All Residential,Orange County, CA,12-Jun,6,30,2012
Year-Over-Year Change,6295,-49.70%,7/31/12,All Residential,Orange County, CA,12-Jul,7,31,2012
Year-Over-Year Change,5687,-52.70%,8/31/12,All Residential,Orange County, CA,12-Aug,8,31,2012
Year-Over-Year Change,4924,-57.20%,9/30/12,All Residential,Orange County, CA,12-Sep,9,30,2012
Year-Over-Year Change,4284,-60.80%,10/31/12,All Residential,Orange County, CA,12-Oct,10,31,2012
Year-Over-Year Change,3632,-64.60%,11/30/12,All Residential,Orange County, CA,12-Nov,11,30,2012
Year-Over-Year Change,2987,-67.70%,12/31/12,All Residential,Orange County, CA,12-Dec,12,31,2012
Year-Over-Year Change,2837,-68.40%,1/31/13,All Residential,Orange County, CA,13-Jan,1,31,2013
Year-Over-Year Change,2889,-65.90%,2/28/13,All Residential,Orange County, CA,13-Feb,2,28,2013
Year-Over-Year Change,2914,-62.90%,3/31/13,All Residential,Orange County, CA,13-Mar,3,31,2013
Year-Over-Year Change,3347,-54.50%,4/30/13,All Residential,Orange County, CA,13-Apr,4,30,2013
Year-Over-Year Change,3756,-46.30%,5/31/13,All Residential,Orange County, CA,13-May,5,31,2013
Year-Over-Year Change,4341,-35.40%,6/30/13,All Residential,Orange County, CA,13-Jun,6,30,2013
Year-Over-Year Change,5087,-19.20%,7/31/13,All Residential,Orange County, CA,13-Jul,7,31,2013
Year-Over-Year Change,5490,-3.50%,8/31/13,All Residential,Orange County, CA,13-Aug,8,31,2013
Year-Over-Year Change,5764,17.10%,9/30/13,All Residential,Orange County, CA,13-Sep,9,30,2013
Year-Over-Year Change,5684,32.70%,10/31/13,All Residential,Orange County, CA,13-Oct,10,31,2013
Year-Over-Year Change,5086,40.00%,11/30/13,All Residential,Orange County, CA,13-Nov,11,30,2013
Year-Over-Year Change,4417,47.90%,12/31/13,All Residential,Orange County, CA,13-Dec,12,31,2013
Year-Over-Year Change,4638,63.50%,1/31/14,All Residential,Orange County, CA,14-Jan,1,31,2014
Year-Over-Year Change,4982,72.40%,2/28/14,All Residential,Orange County, CA,14-Feb,2,28,2014
Year-Over-Year Change,5307,82.10%,3/31/14,All Residential,Orange County, CA,14-Mar,3,31,2014
Year-Over-Year Change,5624,68.00%,4/30/14,All Residential,Orange County, CA,14-Apr,4,30,2014
Year-Over-Year Change,5903,57.20%,5/31/14,All Residential,Orange County, CA,14-May,5,31,2014
Year-Over-Year Change,6543,50.70%,6/30/14,All Residential,Orange County, CA,14-Jun,6,30,2014
Year-Over-Year Change,7391,45.30%,7/31/14,All Residential,Orange County, CA,14-Jul,7,31,2014
Year-Over-Year Change,7896,43.80%,8/31/14,All Residential,Orange County, CA,14-Aug,8,31,2014
Year-Over-Year Change,8382,45.40%,9/30/14,All Residential,Orange County, CA,14-Sep,9,30,2014
Year-Over-Year Change,7643,34.50%,10/31/14,All Residential,Orange County, CA,14-Oct,10,31,2014
Year-Over-Year Change,6808,33.90%,11/30/14,All Residential,Orange County, CA,14-Nov,11,30,2014
Year-Over-Year Change,5619,27.20%,12/31/14,All Residential,Orange County, CA,14-Dec,12,31,2014
Year-Over-Year Change,6176,33.20%,1/31/15,All Residential,Orange County, CA,15-Jan,1,31,2015
Year-Over-Year Change,6719,34.90%,2/28/15,All Residential,Orange County, CA,15-Feb,2,28,2015
Year-Over-Year Change,7059,33.00%,3/31/15,All Residential,Orange County, CA,15-Mar,3,31,2015
Year-Over-Year Change,7353,30.70%,4/30/15,All Residential,Orange County, CA,15-Apr,4,30,2015
Year-Over-Year Change,7858,33.10%,5/31/15,All Residential,Orange County, CA,15-May,5,31,2015
Year-Over-Year Change,8135,24.30%,6/30/15,All Residential,Orange County, CA,15-Jun,6,30,2015
Year-Over-Year Change,8244,11.50%,7/31/15,All Residential,Orange County, CA,15-Jul,7,31,2015
Year-Over-Year Change,8184,3.60%,8/31/15,All Residential,Orange County, CA,15-Aug,8,31,2015
Year-Over-Year Change,7834,-6.50%,9/30/15,All Residential,Orange County, CA,15-Sep,9,30,2015
Year-Over-Year Change,7361,-3.70%,10/31/15,All Residential,Orange County, CA,15-Oct,10,31,2015
Year-Over-Year Change,6715,-1.40%,11/30/15,All Residential,Orange County, CA,15-Nov,11,30,2015
Year-Over-Year Change,5400,-3.90%,12/31/15,All Residential,Orange County, CA,15-Dec,12,31,2015
Year-Over-Year Change,5919,-4.20%,1/31/16,All Residential,Orange County, CA,16-Jan,1,31,2016
Year-Over-Year Change,6593,-1.90%,2/29/16,All Residential,Orange County, CA,16-Feb,2,29,2016
Year-Over-Year Change,7222,2.30%,3/31/16,All Residential,Orange County, CA,16-Mar,3,31,2016
Year-Over-Year Change,7822,6.40%,4/30/16,All Residential,Orange County, CA,16-Apr,4,30,2016
Year-Over-Year Change,8313,5.80%,5/31/16,All Residential,Orange County, CA,16-May,5,31,2016
Year-Over-Year Change,8833,8.60%,6/30/16,All Residential,Orange County, CA,16-Jun,6,30,2016
Year-Over-Year Change,9292,12.70%,7/31/16,All Residential,Orange County, CA,16-Jul,7,31,2016
Year-Over-Year Change,9354,14.30%,8/31/16,All Residential,Orange County, CA,16-Aug,8,31,2016
Year-Over-Year Change,9215,17.60%,9/30/16,All Residential,Orange County, CA,16-Sep,9,30,2016
Year-Over-Year Change,8362,13.60%,10/31/16,All Residential,Orange County, CA,16-Oct,10,31,2016
Year-Over-Year Change,7371,9.80%,11/30/16,All Residential,Orange County, CA,16-Nov,11,30,2016
Year-Over-Year Change,6007,11.20%,12/31/16,All Residential,Orange County, CA,16-Dec,12,31,2016
Year-Over-Year Change,6381,7.80%,1/31/17,All Residential,Orange County, CA,17-Jan,1,31,2017
Year-Over-Year Change,6672,1.20%,2/28/17,All Residential,Orange County, CA,17-Feb,2,28,2017
Year-Over-Year Change,7049,2.60%,3/31/17,All Residential,Orange County, CA,17-Mar,3,31,2017
Year-Over-Year Change,7824,0.00%,4/30/17,All Residential,Orange County, CA,17-Apr,4,30,2017
Year-Over-Year Change,8206,-1.30%,5/31/17,All Residential,Orange County, CA,17-May,5,31,2017
Year-Over-Year Change,8316,-5.90%,6/30/17,All Residential,Orange County, CA,17-Jun,6,30,2017
Year-Over-Year Change,8260,-11.10%,7/31/17,All Residential,Orange County, CA,17-Jul,7,31,2017
Year-Over-Year Change,7962,-14.90%,8/31/17,All Residential,Orange County, CA,17-Aug,8,31,2017
Year-Over-Year Change,7439,-19.30%,9/30/17,All Residential,Orange County, CA,17-Sep,9,30,2017
Year-Over-Year Change,6912,-17.30%,10/31/17,All Residential,Orange County, CA,17-Oct,10,31,2017
Year-Over-Year Change,6158,-16.50%,11/30/17,All Residential,Orange County, CA,17-Nov,11,30,2017
Year-Over-Year Change,4953,-17.50%,12/31/17,All Residential,Orange County, CA,17-Dec,12,31,2017
Year-Over-Year Change,5458,-14.50%,1/31/18,All Residential,Orange County, CA,18-Jan,1,31,2018
Year-Over-Year Change,6246,-6.40%,2/28/18,All Residential,Orange County, CA,18-Feb,2,28,2018
Year-Over-Year Change,6620,-10.60%,3/31/18,All Residential,Orange County, CA,18-Mar,3,31,2018
Year-Over-Year Change,7445,-4.80%,4/30/18,All Residential,Orange County, CA,18-Apr,4,30,2018
Year-Over-Year Change,7910,-3.60%,5/31/18,All Residential,Orange County, CA,18-May,5,31,2018
Year-Over-Year Change,8265,-0.60%,6/30/18,All Residential,Orange County, CA,18-Jun,6,30,2018
Year-Over-Year Change,8134,-1.50%,7/31/18,All Residential,Orange County, CA,18-Jul,7,31,2018
